Title,Artist,URL
Yo No Soy Celoso,Bad Bunny,https://www.youtube.com/watch?v=kLUeP9E9f5k
Rock And A Hard Place,Bailey Zimmerman,https://www.youtube.com/watch?v=QyapQFCHUlg
Sacrifice,The Weeknd,https://www.youtube.com/watch?v=VafTMsrnSTU
Medallo,"Blessd, Justin Quiles And Lenny Tavárez",https://www.youtube.com/watch?v=hMhR6T7EEfQ
Dos Oruguitas,Sebastián Yatra,https://www.youtube.com/watch?v=DUGtyj5QlEM
Santa Tell Me,Ariana Grande,https://www.youtube.com/watch?v=nlR0MkrRklg
Zankyosanka,Aimer,https://www.youtube.com/watch?v=tLQLa6lM3Us
Wait A Minute!,Willow,https://www.youtube.com/watch?v=0Z1Js6aUYeQ
Thunder,Imagine Dragons,https://www.youtube.com/watch?v=fKopy74weus
Billie Jean,Michael Jackson,https://www.youtube.com/watch?v=Zi_XLOBDo_Y
The Family Madrigal,"Stephanie Beatriz, Olga Merediz And The Encanto Cast",https://www.youtube.com/watch?v=Yp5nPGWWMh4
It'S Beginning To Look A Lot Like Christmas,Michael Bublé,https://www.youtube.com/watch?v=0bhsXykXxfg
Get Into It (Yuh),Doja Cat,https://www.youtube.com/watch?v=9Ko-nEYJ1GE
